gene,systematicName,intensity
ADH7,YCR105W,0.00171821305841925
RDS1,YCR106W,0.00257731958762887
AAD3,YCR107W,0.00792079207920792
RMD1,YDL001W,0.0101449275362319
NHP10,YDL002C,0.0933660933660934
MCD1,YDL003W,0.00199600798403194
MED2,YDL005C,0.0345640219952867
PTC1,YDL006W,0.0606060606060606
,YDL007C-A,0.00363036303630363
RPT2,YDL007W,0.37029702970297
APC11,YDL008W,0.00427350427350427
,YDL009C,0.0033003300330033
GRX6,YDL010W,0.0099009900990099
,YDL012C,0.165016501650165
TSC13,YDL015C,0.736288998357964
CDC7,YDL017W,0.00576202823393835
ERP3,YDL018C,0.113808801213961
OSH2,YDL019C,0.0905118601747815
RPN4,YDL020C,0.00464949928469242
GPM2,YDL021W,0.157879573609911
,YDL022C-A,0.00264026402640264
GPD1,YDL022W,1.96143250688705
DIA3,YDL024C,0.00198019801980198
RTK1,YDL025C,0.0765676567656766
,YDL027C,0.144542772861357
MPS1,YDL028C,-0.00312109862671661
ARP2,YDL029W,1.0193740685544
PRP9,YDL030W,0.0258320914058619
SLM3,YDL033C,0.0483729111697449
GPR1,YDL035C,0.00515463917525773
PUS9,YDL036C,0.0119760479041916
BSC1,YDL037C,-2.31296463463574e-18
PRM7,YDL039C,-0.00198019801980198
NAT1,YDL040C,0.239766081871345
SIR2,YDL042C,0.028303940779447
PRP11,YDL043C,0.0281852171412137
MTF2,YDL044C,0.07003367003367
FAD1,YDL045C,0.0529327610872675
MRP10,YDL045W-A,0.0696767001114827
NPC2,YDL046W,0.0191419141914191
SIT4,YDL047W,0.0507058484586574
STP4,YDL048C,0.00478632478632478
KNH1,YDL049C,0.0105610561056106
LHP1,YDL051W,0.207135250266241
SLC1,YDL052C,0.285148514851485
PBP4,YDL053C,0.0347085789129011
MCH1,YDL054C,0.0101171458998935
PSA1,YDL055C,5.51118044721789
MBP1,YDL056W,0.0343574496200859
,YDL057W,0.033003300330033
USO1,YDL058W,0.0413030831878999
RAD59,YDL059C,0.00273504273504273
TSR1,YDL060W,0.0522151898734177
SYO1,YDL063C,0.0501296456352636
UBC9,YDL064W,0.282828282828283
PEX19,YDL065C,0.194719471947195
IDP1,YDL066W,0.969914802981896
COX9,YDL067C,0.385514018691589
CBS1,YDL069C,0.0244224422442244
YET3,YDL072C,1.38214599824099
,YDL073W,0.00528052805280528
RXT3,YDL076C,0.045045045045045
VAM6,YDL077C,0.0178217821782178
MDH3,YDL078C,1.03960396039604
MRK1,YDL079C,0.00601374570446735
THI3,YDL080C,0.0344827586206896
RPL13A,YDL082W,1.54408602150538
,YDL085C-A,0.604291417165669
,YDL086C-A,0.0050761421319797
,YDL086W,0.566027689030884
LUC7,YDL087C,0.0270348001150417
ASM4,YDL088C,0.0531243196168082
RAM1,YDL090C,0.0469722693831353
UBX3,YDL091C,0.0224719101123596
PMT5,YDL093W,0.0146048109965636
PMT1,YDL095W,0.571651090342679
RPN6,YDL097C,0.377756471716203
SNU23,YDL098C,0.0225895316804408
BUG1,YDL099W,0.270243417784401
DUN1,YDL101C,0.0425880425880426
POL3,YDL102W,0.024390243902439
QRI1,YDL103C,0.208160442600277
QRI7,YDL104C,0.0211190942738951
NSE4,YDL105W,-0.00107787658313123
PHO2,YDL106C,0.0439905734485467
MSS2,YDL107W,0.0356744704570792
KIN28,YDL108W,0.0368133448375036
,YDL109C,0.00343642611683849
TMA17,YDL110C,1.41912246234447
RRP42,YDL111C,0.0725146198830409
TRM3,YDL112W,0.0557553956834532
ATG20,YDL113C,0.0469094922737307
,YDL114W,0.0730240549828179
IWR1,YDL115C,0.0695364238410596
NUP84,YDL116W,0.0701107011070111
CYK3,YDL117W,0.0102564102564103
YFH1,YDL120W,0.515151515151515
,YDL121C,0.386103781882146
UBP1,YDL122W,0.204813805631244
SNA4,YDL123W,0.231958762886598
,YDL124W,2.16479400749064
HNT1,YDL125C,0.449515905947441
CDC48,YDL126C,2.04420866489832
PCL2,YDL127W,0.0128865979381443
VCX1,YDL128W,0.0459770114942529
,YDL129W,0.00798403193612774
RPP1B,YDL130W,3.92631889183613
STF1,YDL130W-A,2.39808612440191
LYS21,YDL131W,1.00665883274579
CDC53,YDL132W,0.0173869846000994
RPL41B,YDL133C-A,3.87543859649123
PPH21,YDL134C,0.0147011824864174
RDI1,YDL135C,0.10198761811665
RPL35B,YDL136W,0.193726301275422
ARF2,YDL137W,0.404602109300096
RGT2,YDL138W,-0.000859106529209624
SCM3,YDL139C,0.010485651214128
RPO21,YDL140C,0.25
BPL1,YDL141W,0.120825147347741
CRD1,YDL142C,0.0309734513274336
,YDL144C,0.183955739972337
COP1,YDL145C,0.537931034482759
LDB17,YDL146W,0.0355029585798817
RPN5,YDL147W,0.530551415797317
NOP14,YDL148C,0.0580404685835996
ATG9,YDL149W,0.0367521367521368
RPC53,YDL150W,0.0584699453551913
SAS10,YDL153C,0.00171821305841924
MSH5,YDL154W,0.00945017182130584
CLB3,YDL155W,0.000683760683760683
CMR1,YDL156W,0.00961052099140111
,YDL157C,0.0222965440356745
STE7,YDL159W,0.0108974358974359
,YDL159W-A,-0.00257731958762886
DHH1,YDL160C,0.363689949896846
MHF2,YDL160C-A,0.0893470790378007
ENT1,YDL161W,0.200854700854701
CDC9,YDL164C,0.0390855457227139
CDC36,YDL165W,0.0644122383252818
FAP7,YDL166C,0.217166494312306
NRP1,YDL167C,0.0114942528735632
SFA1,YDL168W,0.359673024523161
UGX2,YDL169C,0.0300687285223368
UGA3,YDL170W,0.00264288074000661
GLT1,YDL171C,0.384364820846906
PAR32,YDL173W,0.182028985507246
